Id,Genre,classic,cute,romantic,realistic,expressionnisme,abstract,decoration,grotesque,humor
71,"['expressionnisme', 'humor']",0,0,0,0,1,0,0,0,1
72,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
73,"['expressionnisme', 'humor']",0,0,0,0,1,0,0,0,1
74,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
75,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
76,"['cute', 'expressionnisme']",0,1,0,0,1,0,0,0,0
77,"['expressionnisme', 'humor']",0,0,0,0,1,0,0,0,1
78,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
79,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
80,"['classic', 'cute']",1,1,0,0,0,0,0,0,0
81,"['romantic', 'grotesque']",0,0,1,0,0,0,0,1,0
82,"['romantic', 'grotesque']",0,0,1,0,0,0,0,1,0
83,"['romantic', 'grotesque']",0,0,1,0,0,0,0,1,0
84,"['romantic', 'grotesque']",0,0,1,0,0,0,0,1,0
85,"['romantic', 'expressionnisme']",0,0,1,0,1,0,0,0,0
86,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
87,"['realistic', 'humor']",0,0,0,1,0,0,0,0,1
88,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
89,"['cute', 'romantic']",0,1,1,0,0,0,0,0,0
90,"['cute', 'romantic']",0,1,1,0,0,0,0,0,0
91,"['cute', 'decoration']",0,1,0,0,0,0,1,0,0
92,"['classic', 'romantic']",1,0,1,0,0,0,0,0,0
93,"['classic', 'romantic']",1,0,1,0,0,0,0,0,0
94,"['romantic', 'grotesque']",0,0,1,0,0,0,0,1,0
95,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
96,"['classic', 'cute']",1,1,0,0,0,0,0,0,0
97,"['classic', 'romantic']",1,0,1,0,0,0,0,0,0
98,"['realistic', 'decoration']",0,0,0,1,0,0,1,0,0
99,"['classic', 'romantic']",1,0,1,0,0,0,0,0,0
100,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
101,"['classic', 'romantic']",1,0,1,0,0,0,0,0,0
102,"['classic', 'romantic']",1,0,1,0,0,0,0,0,0
103,"['grotesque', 'humor']",0,0,0,0,0,0,0,1,1
104,"['realistic', 'grotesque']",0,0,0,1,0,0,0,1,0
105,"['expressionnisme', 'grotesque']",0,0,0,0,1,0,0,1,0
106,"['realistic', 'grotesque']",0,0,0,1,0,0,0,1,0
107,"['realistic', 'grotesque']",0,0,0,1,0,0,0,1,0
108,"['realistic', 'grotesque']",0,0,0,1,0,0,0,1,0
109,"['expressionnisme', 'grotesque']",0,0,0,0,1,0,0,1,0
110,"['romantic', 'realistic']",0,0,1,1,0,0,0,0,0
111,"['romantic', 'grotesque']",0,0,1,0,0,0,0,1,0
112,"['classic', 'humor']",1,0,0,0,0,0,0,0,1
113,['realistic'],0,0,0,1,0,0,0,0,0
114,"['expressionnisme', 'grotesque']",0,0,0,0,1,0,0,1,0
115,['realistic'],0,0,0,1,0,0,0,0,0
116,['humor'],0,0,0,0,0,0,0,0,1
117,"['expressionnisme', 'grotesque']",0,0,0,0,1,0,0,1,0
118,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
119,['humor'],0,0,0,0,0,0,0,0,1
120,['humor'],0,0,0,0,0,0,0,0,1
121,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
122,['humor'],0,0,0,0,0,0,0,0,1
123,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
124,['decoration'],0,0,0,0,0,0,1,0,0
125,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
126,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
127,['humor'],0,0,0,0,0,0,0,0,1
128,['humor'],0,0,0,0,0,0,0,0,1
129,['humor'],0,0,0,0,0,0,0,0,1
130,['humor'],0,0,0,0,0,0,0,0,1
131,"['romantic', 'expressionnisme']",0,0,1,0,1,0,0,0,0
132,"['cute', 'grotesque']",0,1,0,0,0,0,0,1,0
133,"['romantic', 'expressionnisme']",0,0,1,0,1,0,0,0,0
134,"['romantic', 'expressionnisme']",0,0,1,0,1,0,0,0,0
135,"['romantic', 'expressionnisme']",0,0,1,0,1,0,0,0,0
136,"['romantic', 'expressionnisme']",0,0,1,0,1,0,0,0,0
137,"['romantic', 'expressionnisme']",0,0,1,0,1,0,0,0,0
138,"['romantic', 'expressionnisme']",0,0,1,0,1,0,0,0,0
139,"['romantic', 'expressionnisme']",0,0,1,0,1,0,0,0,0
140,"['romantic', 'expressionnisme']",0,0,1,0,1,0,0,0,0
141,"['romantic', 'expressionnisme']",0,0,1,0,1,0,0,0,0
142,"['expressionnisme', 'grotesque']",0,0,0,0,1,0,0,1,0
143,"['romantic', 'grotesque']",0,0,1,0,0,0,0,1,0
144,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
145,"['classic', 'romantic']",1,0,1,0,0,0,0,0,0
146,"['cute', 'romantic']",0,1,1,0,0,0,0,0,0
147,"['romantic', 'realistic']",0,0,1,1,0,0,0,0,0
148,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
149,"['romantic', 'realistic']",0,0,1,1,0,0,0,0,0
150,"['romantic', 'realistic']",0,0,1,1,0,0,0,0,0
151,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
152,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
153,"['classic', 'romantic']",1,0,1,0,0,0,0,0,0
154,"['romantic', 'expressionnisme']",0,0,1,0,1,0,0,0,0
155,"['cute', 'romantic']",0,1,1,0,0,0,0,0,0
156,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
157,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
158,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
159,"['expressionnisme', 'grotesque']",0,0,0,0,1,0,0,1,0
160,"['expressionnisme', 'grotesque']",0,0,0,0,1,0,0,1,0
161,"['expressionnisme', 'grotesque']",0,0,0,0,1,0,0,1,0
162,"['expressionnisme', 'grotesque']",0,0,0,0,1,0,0,1,0
163,"['expressionnisme', 'grotesque']",0,0,0,0,1,0,0,1,0
164,"['expressionnisme', 'grotesque']",0,0,0,0,1,0,0,1,0
165,"['expressionnisme', 'grotesque']",0,0,0,0,1,0,0,1,0
166,"['expressionnisme', 'grotesque']",0,0,0,0,1,0,0,1,0
167,"['expressionnisme', 'grotesque']",0,0,0,0,1,0,0,1,0
168,"['abstract', 'grotesque']",0,0,0,0,0,1,0,1,0
169,"['cute', 'romantic']",0,1,1,0,0,0,0,0,0
170,"['cute', 'romantic']",0,1,1,0,0,0,0,0,0
171,"['cute', 'romantic']",0,1,1,0,0,0,0,0,0
172,"['cute', 'romantic']",0,1,1,0,0,0,0,0,0
173,"['cute', 'romantic']",0,1,1,0,0,0,0,0,0
174,"['romantic', 'grotesque']",0,0,1,0,0,0,0,1,0
175,"['romantic', 'grotesque']",0,0,1,0,0,0,0,1,0
176,"['cute', 'romantic']",0,1,1,0,0,0,0,0,0
177,"['romantic', 'grotesque']",0,0,1,0,0,0,0,1,0
178,"['romantic', 'grotesque']",0,0,1,0,0,0,0,1,0
179,"['classic', 'romantic']",1,0,1,0,0,0,0,0,0
180,"['classic', 'cute']",1,1,0,0,0,0,0,0,0
181,"['expressionnisme', 'grotesque']",0,0,0,0,1,0,0,1,0
182,"['expressionnisme', 'grotesque']",0,0,0,0,1,0,0,1,0
183,"['expressionnisme', 'grotesque']",0,0,0,0,1,0,0,1,0
184,"['expressionnisme', 'grotesque']",0,0,0,0,1,0,0,1,0
185,"['expressionnisme', 'grotesque']",0,0,0,0,1,0,0,1,0
186,"['expressionnisme', 'grotesque']",0,0,0,0,1,0,0,1,0
187,"['expressionnisme', 'grotesque']",0,0,0,0,1,0,0,1,0
188,"['expressionnisme', 'grotesque']",0,0,0,0,1,0,0,1,0
189,"['expressionnisme', 'grotesque']",0,0,0,0,1,0,0,1,0
190,"['expressionnisme', 'grotesque']",0,0,0,0,1,0,0,1,0
191,"['expressionnisme', 'grotesque']",0,0,0,0,1,0,0,1,0
192,"['grotesque', 'humor']",0,0,0,0,0,0,0,1,1
193,"['grotesque', 'humor']",0,0,0,0,0,0,0,1,1
194,"['grotesque', 'humor']",0,0,0,0,0,0,0,1,1
195,"['expressionnisme', 'grotesque']",0,0,0,0,1,0,0,1,0
196,"['decoration', 'grotesque']",0,0,0,0,0,0,1,1,0
197,"['grotesque', 'humor']",0,0,0,0,0,0,0,1,1
198,"['grotesque', 'humor']",0,0,0,0,0,0,0,1,1
199,"['expressionnisme', 'grotesque']",0,0,0,0,1,0,0,1,0
200,"['abstract', 'grotesque']",0,0,0,0,0,1,0,1,0
201,"['cute', 'grotesque']",0,1,0,0,0,0,0,1,0
202,"['romantic', 'grotesque']",0,0,1,0,0,0,0,1,0
203,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
204,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
205,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
206,"['cute', 'romantic']",0,1,1,0,0,0,0,0,0
207,"['cute', 'romantic']",0,1,1,0,0,0,0,0,0
208,"['cute', 'romantic']",0,1,1,0,0,0,0,0,0
209,"['romantic', 'expressionnisme']",0,0,1,0,1,0,0,0,0
210,"['classic', 'humor']",1,0,0,0,0,0,0,0,1
211,"['romantic', 'decoration']",0,0,1,0,0,0,1,0,0
212,"['cute', 'romantic']",0,1,1,0,0,0,0,0,0
213,"['grotesque', 'humor']",0,0,0,0,0,0,0,1,1
214,"['realistic', 'grotesque']",0,0,0,1,0,0,0,1,0
215,"['classic', 'romantic']",1,0,1,0,0,0,0,0,0
216,"['cute', 'grotesque']",0,1,0,0,0,0,0,1,0
217,"['grotesque', 'humor']",0,0,0,0,0,0,0,1,1
218,"['decoration', 'humor']",0,0,0,0,0,0,1,0,1
219,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
220,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
221,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
222,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
223,"['expressionnisme', 'abstract']",0,0,0,0,1,1,0,0,0
224,"['cute', 'expressionnisme']",0,1,0,0,1,0,0,0,0
225,"['cute', 'romantic']",0,1,1,0,0,0,0,0,0
226,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
227,"['expressionnisme', 'humor']",0,0,0,0,1,0,0,0,1
228,"['expressionnisme', 'humor']",0,0,0,0,1,0,0,0,1
229,['romantic'],0,0,1,0,0,0,0,0,0
230,"['abstract', 'decoration']",0,0,0,0,0,1,1,0,0
231,"['cute', 'decoration']",0,1,0,0,0,0,1,0,0
232,"['cute', 'decoration']",0,1,0,0,0,0,1,0,0
233,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
234,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
235,"['abstract', 'decoration']",0,0,0,0,0,1,1,0,0
236,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
237,"['expressionnisme', 'decoration']",0,0,0,0,1,0,1,0,0
238,"['cute', 'expressionnisme']",0,1,0,0,1,0,0,0,0
239,"['cute', 'abstract']",0,1,0,0,0,1,0,0,0
240,"['decoration', 'humor']",0,0,0,0,0,0,1,0,1
241,"['cute', 'decoration']",0,1,0,0,0,0,1,0,0
242,"['decoration', 'grotesque']",0,0,0,0,0,0,1,1,0
243,"['abstract', 'grotesque']",0,0,0,0,0,1,0,1,0
244,"['abstract', 'grotesque']",0,0,0,0,0,1,0,1,0
245,"['romantic', 'humor']",0,0,1,0,0,0,0,0,1
246,"['decoration', 'grotesque']",0,0,0,0,0,0,1,1,0
247,"['decoration', 'grotesque']",0,0,0,0,0,0,1,1,0
248,"['cute', 'romantic']",0,1,1,0,0,0,0,0,0
249,"['classic', 'grotesque']",1,0,0,0,0,0,0,1,0
250,"['abstract', 'grotesque']",0,0,0,0,0,1,0,1,0
251,"['cute', 'grotesque']",0,1,0,0,0,0,0,1,0
252,"['cute', 'romantic']",0,1,1,0,0,0,0,0,0
253,"['cute', 'decoration']",0,1,0,0,0,0,1,0,0
254,"['abstract', 'grotesque']",0,0,0,0,0,1,0,1,0
255,"['expressionnisme', 'abstract']",0,0,0,0,1,1,0,0,0
256,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
257,"['cute', 'grotesque']",0,1,0,0,0,0,0,1,0
258,"['cute', 'romantic']",0,1,1,0,0,0,0,0,0
259,"['cute', 'romantic']",0,1,1,0,0,0,0,0,0
260,"['abstract', 'decoration']",0,0,0,0,0,1,1,0,0
261,"['expressionnisme', 'abstract']",0,0,0,0,1,1,0,0,0
262,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
263,"['abstract', 'decoration']",0,0,0,0,0,1,1,0,0
264,"['abstract', 'grotesque']",0,0,0,0,0,1,0,1,0
265,"['abstract', 'grotesque']",0,0,0,0,0,1,0,1,0
266,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
267,"['abstract', 'decoration']",0,0,0,0,0,1,1,0,0
268,"['romantic', 'decoration']",0,0,1,0,0,0,1,0,0
269,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
270,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
271,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
272,"['expressionnisme', 'humor']",0,0,0,0,1,0,0,0,1
273,"['decoration', 'humor']",0,0,0,0,0,0,1,0,1
274,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
275,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
276,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
277,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
278,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
279,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
280,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
281,"['expressionnisme', 'humor']",0,0,0,0,1,0,0,0,1
282,"['romantic', 'realistic']",0,0,1,1,0,0,0,0,0
283,"['cute', 'romantic']",0,1,1,0,0,0,0,0,0
284,['classic'],1,0,0,0,0,0,0,0,0
285,"['classic', 'romantic']",1,0,1,0,0,0,0,0,0
286,"['grotesque', 'humor']",0,0,0,0,0,0,0,1,1
287,['cute'],0,1,0,0,0,0,0,0,0
288,"['realistic', 'grotesque']",0,0,0,1,0,0,0,1,0
289,"['realistic', 'grotesque']",0,0,0,1,0,0,0,1,0
290,"['classic', 'realistic']",1,0,0,1,0,0,0,0,0
291,"['realistic', 'grotesque']",0,0,0,1,0,0,0,1,0
292,['grotesque'],0,0,0,0,0,0,0,1,0
293,['grotesque'],0,0,0,0,0,0,0,1,0
294,"['classic', 'humor']",1,0,0,0,0,0,0,0,1
295,"['realistic', 'grotesque']",0,0,0,1,0,0,0,1,0
296,"['realistic', 'grotesque']",0,0,0,1,0,0,0,1,0
297,"['realistic', 'grotesque']",0,0,0,1,0,0,0,1,0
298,"['realistic', 'grotesque']",0,0,0,1,0,0,0,1,0
299,"['realistic', 'grotesque']",0,0,0,1,0,0,0,1,0
300,"['realistic', 'grotesque']",0,0,0,1,0,0,0,1,0
301,"['romantic', 'grotesque']",0,0,1,0,0,0,0,1,0
302,"['abstract', 'grotesque']",0,0,0,0,0,1,0,1,0
303,"['abstract', 'grotesque']",0,0,0,0,0,1,0,1,0
304,"['abstract', 'grotesque']",0,0,0,0,0,1,0,1,0
305,"['abstract', 'grotesque']",0,0,0,0,0,1,0,1,0
306,"['abstract', 'grotesque']",0,0,0,0,0,1,0,1,0
307,"['abstract', 'grotesque']",0,0,0,0,0,1,0,1,0
308,"['abstract', 'grotesque']",0,0,0,0,0,1,0,1,0
309,"['realistic', 'grotesque']",0,0,0,1,0,0,0,1,0
310,"['expressionnisme', 'grotesque']",0,0,0,0,1,0,0,1,0
311,"['romantic', 'grotesque']",0,0,1,0,0,0,0,1,0
312,"['cute', 'romantic']",0,1,1,0,0,0,0,0,0
313,"['expressionnisme', 'grotesque']",0,0,0,0,1,0,0,1,0
314,"['grotesque', 'humor']",0,0,0,0,0,0,0,1,1
315,"['realistic', 'grotesque']",0,0,0,1,0,0,0,1,0
316,"['abstract', 'grotesque']",0,0,0,0,0,1,0,1,0
317,['grotesque'],0,0,0,0,0,0,0,1,0
318,"['classic', 'grotesque']",1,0,0,0,0,0,0,1,0
319,"['expressionnisme', 'grotesque']",0,0,0,0,1,0,0,1,0
320,['grotesque'],0,0,0,0,0,0,0,1,0
321,['grotesque'],0,0,0,0,0,0,0,1,0
322,"['romantic', 'decoration']",0,0,1,0,0,0,1,0,0
323,"['romantic', 'grotesque']",0,0,1,0,0,0,0,1,0
324,['romantic'],0,0,1,0,0,0,0,0,0
325,"['romantic', 'humor']",0,0,1,0,0,0,0,0,1
326,"['cute', 'grotesque']",0,1,0,0,0,0,0,1,0
327,"['romantic', 'grotesque']",0,0,1,0,0,0,0,1,0
328,"['romantic', 'grotesque']",0,0,1,0,0,0,0,1,0
329,"['grotesque', 'humor']",0,0,0,0,0,0,0,1,1
330,"['expressionnisme', 'grotesque']",0,0,0,0,1,0,0,1,0
331,"['abstract', 'decoration']",0,0,0,0,0,1,1,0,0
332,"['cute', 'expressionnisme']",0,1,0,0,1,0,0,0,0
333,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
334,"['decoration', 'humor']",0,0,0,0,0,0,1,0,1
335,"['grotesque', 'humor']",0,0,0,0,0,0,0,1,1
336,"['cute', 'decoration']",0,1,0,0,0,0,1,0,0
337,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
338,['grotesque'],0,0,0,0,0,0,0,1,0
339,"['decoration', 'humor']",0,0,0,0,0,0,1,0,1
340,"['expressionnisme', 'humor']",0,0,0,0,1,0,0,0,1
341,"['decoration', 'humor']",0,0,0,0,0,0,1,0,1
342,"['decoration', 'grotesque']",0,0,0,0,0,0,1,1,0
343,"['decoration', 'humor']",0,0,0,0,0,0,1,0,1
344,"['decoration', 'humor']",0,0,0,0,0,0,1,0,1
345,['decoration'],0,0,0,0,0,0,1,0,0
346,"['decoration', 'humor']",0,0,0,0,0,0,1,0,1
347,['humor'],0,0,0,0,0,0,0,0,1
348,['humor'],0,0,0,0,0,0,0,0,1
349,['humor'],0,0,0,0,0,0,0,0,1
350,['expressionnisme'],0,0,0,0,1,0,0,0,0
351,['romantic'],0,0,1,0,0,0,0,0,0
352,['decoration'],0,0,0,0,0,0,1,0,0
353,"['cute', 'romantic']",0,1,1,0,0,0,0,0,0
354,['romantic'],0,0,1,0,0,0,0,0,0
355,['realistic'],0,0,0,1,0,0,0,0,0
356,['realistic'],0,0,0,1,0,0,0,0,0
357,"['cute', 'romantic']",0,1,1,0,0,0,0,0,0
358,['decoration'],0,0,0,0,0,0,1,0,0
359,['romantic'],0,0,1,0,0,0,0,0,0
360,"['cute', 'romantic']",0,1,1,0,0,0,0,0,0
361,['humor'],0,0,0,0,0,0,0,0,1
362,['romantic'],0,0,1,0,0,0,0,0,0
363,"['romantic', 'grotesque']",0,0,1,0,0,0,0,1,0
364,"['abstract', 'decoration']",0,0,0,0,0,1,1,0,0
365,['grotesque'],0,0,0,0,0,0,0,1,0
366,"['grotesque', 'humor']",0,0,0,0,0,0,0,1,1
367,"['abstract', 'decoration']",0,0,0,0,0,1,1,0,0
368,"['abstract', 'decoration']",0,0,0,0,0,1,1,0,0
369,['grotesque'],0,0,0,0,0,0,0,1,0
370,"['decoration', 'humor']",0,0,0,0,0,0,1,0,1
371,['humor'],0,0,0,0,0,0,0,0,1
372,"['cute', 'decoration']",0,1,0,0,0,0,1,0,0
373,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
374,['humor'],0,0,0,0,0,0,0,0,1
375,['humor'],0,0,0,0,0,0,0,0,1
376,['humor'],0,0,0,0,0,0,0,0,1
377,['humor'],0,0,0,0,0,0,0,0,1
378,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
379,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
380,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
381,"['decoration', 'humor']",0,0,0,0,0,0,1,0,1
382,['decoration'],0,0,0,0,0,0,1,0,0
383,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
384,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
385,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
386,"['cute', 'romantic']",0,1,1,0,0,0,0,0,0
387,"['cute', 'romantic']",0,1,1,0,0,0,0,0,0
388,"['classic', 'grotesque']",1,0,0,0,0,0,0,1,0
389,"['classic', 'grotesque']",1,0,0,0,0,0,0,1,0
390,"['cute', 'romantic']",0,1,1,0,0,0,0,0,0
391,['romantic'],0,0,1,0,0,0,0,0,0
392,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
393,['romantic'],0,0,1,0,0,0,0,0,0
394,['romantic'],0,0,1,0,0,0,0,0,0
395,"['classic', 'romantic']",1,0,1,0,0,0,0,0,0
396,"['classic', 'romantic']",1,0,1,0,0,0,0,0,0
397,"['romantic', 'grotesque']",0,0,1,0,0,0,0,1,0
398,"['cute', 'romantic']",0,1,1,0,0,0,0,0,0
399,"['cute', 'grotesque']",0,1,0,0,0,0,0,1,0
400,['romantic'],0,0,1,0,0,0,0,0,0
401,"['decoration', 'humor']",0,0,0,0,0,0,1,0,1
402,"['romantic', 'humor']",0,0,1,0,0,0,0,0,1
403,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
404,"['decoration', 'humor']",0,0,0,0,0,0,1,0,1
405,['humor'],0,0,0,0,0,0,0,0,1
406,['humor'],0,0,0,0,0,0,0,0,1
407,['grotesque'],0,0,0,0,0,0,0,1,0
408,"['decoration', 'humor']",0,0,0,0,0,0,1,0,1
409,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
410,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
411,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
412,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
413,"['decoration', 'humor']",0,0,0,0,0,0,1,0,1
414,"['decoration', 'humor']",0,0,0,0,0,0,1,0,1
415,"['decoration', 'humor']",0,0,0,0,0,0,1,0,1
416,"['decoration', 'humor']",0,0,0,0,0,0,1,0,1
417,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
418,"['romantic', 'decoration']",0,0,1,0,0,0,1,0,0
419,"['decoration', 'humor']",0,0,0,0,0,0,1,0,1
420,"['romantic', 'decoration']",0,0,1,0,0,0,1,0,0
421,"['cute', 'decoration']",0,1,0,0,0,0,1,0,0
422,"['decoration', 'humor']",0,0,0,0,0,0,1,0,1
423,"['expressionnisme', 'decoration']",0,0,0,0,1,0,1,0,0
424,"['expressionnisme', 'decoration']",0,0,0,0,1,0,1,0,0
425,"['expressionnisme', 'decoration']",0,0,0,0,1,0,1,0,0
426,"['expressionnisme', 'decoration']",0,0,0,0,1,0,1,0,0
427,"['decoration', 'humor']",0,0,0,0,0,0,1,0,1
428,"['expressionnisme', 'decoration']",0,0,0,0,1,0,1,0,0
429,"['cute', 'humor']",0,1,0,0,0,0,0,0,1
430,"['expressionnisme', 'decoration']",0,0,0,0,1,0,1,0,0
