Id,Genre,family,friendship,adventure,enjoy-life,beautiful-scenery,home,holiday,imaginary,nostalgia,loneliness,growth,sick
67,"['enjoy-life', 'beautiful-scenery', 'growth']",0,0,0,1,1,0,0,0,0,0,1,0
68,"['family', 'adventure', 'enjoy-life']",1,0,1,1,0,0,0,0,0,0,0,0
69,['friendship'],0,1,0,0,0,0,0,0,0,0,0,0
70,['home'],0,0,0,0,0,1,0,0,0,0,0,0
71,"['friendship', 'holiday']",0,1,0,0,0,0,1,0,0,0,0,0
72,['home'],0,0,0,0,0,1,0,0,0,0,0,0
73,['growth'],0,0,0,0,0,0,0,0,0,0,1,0
74,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
75,['home'],0,0,0,0,0,1,0,0,0,0,0,0
76,['growth'],0,0,0,0,0,0,0,0,0,0,1,0
77,"['friendship', 'holiday']",0,1,0,0,0,0,1,0,0,0,0,0
78,['home'],0,0,0,0,0,1,0,0,0,0,0,0
79,"['friendship', 'holiday']",0,1,0,0,0,0,1,0,0,0,0,0
80,['home'],0,0,0,0,0,1,0,0,0,0,0,0
81,['growth'],0,0,0,0,0,0,0,0,0,0,1,0
82,"['home', 'imaginary']",0,0,0,0,0,1,0,1,0,0,0,0
83,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
84,"['home', 'imaginary']",0,0,0,0,0,1,0,1,0,0,0,0
85,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
86,['home'],0,0,0,0,0,1,0,0,0,0,0,0
87,['home'],0,0,0,0,0,1,0,0,0,0,0,0
88,['home'],0,0,0,0,0,1,0,0,0,0,0,0
89,"['beautiful-scenery', 'home']",0,0,0,0,1,1,0,0,0,0,0,0
90,['home'],0,0,0,0,0,1,0,0,0,0,0,0
91,['home'],0,0,0,0,0,1,0,0,0,0,0,0
92,['home'],0,0,0,0,0,1,0,0,0,0,0,0
93,"['beautiful-scenery', 'home']",0,0,0,0,1,1,0,0,0,0,0,0
94,['home'],0,0,0,0,0,1,0,0,0,0,0,0
95,['home'],0,0,0,0,0,1,0,0,0,0,0,0
96,['home'],0,0,0,0,0,1,0,0,0,0,0,0
97,['home'],0,0,0,0,0,1,0,0,0,0,0,0
98,['home'],0,0,0,0,0,1,0,0,0,0,0,0
99,['beautiful-scenery'],0,0,0,0,1,0,0,0,0,0,0,0
100,['growth'],0,0,0,0,0,0,0,0,0,0,1,0
101,['home'],0,0,0,0,0,1,0,0,0,0,0,0
102,['home'],0,0,0,0,0,1,0,0,0,0,0,0
103,['friendship'],0,1,0,0,0,0,0,0,0,0,0,0
104,"['adventure', 'imaginary']",0,0,1,0,0,0,0,1,0,0,0,0
105,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
106,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
107,"['adventure', 'imaginary']",0,0,1,0,0,0,0,1,0,0,0,0
108,"['adventure', 'imaginary']",0,0,1,0,0,0,0,1,0,0,0,0
109,"['adventure', 'imaginary']",0,0,1,0,0,0,0,1,0,0,0,0
110,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
111,"['adventure', 'imaginary']",0,0,1,0,0,0,0,1,0,0,0,0
112,"['adventure', 'imaginary']",0,0,1,0,0,0,0,1,0,0,0,0
113,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
114,"['adventure', 'imaginary']",0,0,1,0,0,0,0,1,0,0,0,0
115,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
116,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
117,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
118,"['imaginary', 'growth']",0,0,0,0,0,0,0,1,0,0,1,0
119,['growth'],0,0,0,0,0,0,0,0,0,0,1,0
120,['growth'],0,0,0,0,0,0,0,0,0,0,1,0
121,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
122,['friendship'],0,1,0,0,0,0,0,0,0,0,0,0
123,['friendship'],0,1,0,0,0,0,0,0,0,0,0,0
124,['home'],0,0,0,0,0,1,0,0,0,0,0,0
125,['friendship'],0,1,0,0,0,0,0,0,0,0,0,0
126,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
127,['growth'],0,0,0,0,0,0,0,0,0,0,1,0
128,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
129,['growth'],0,0,0,0,0,0,0,0,0,0,1,0
130,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
131,"['imaginary', 'sick']",0,0,0,0,0,0,0,1,0,0,0,1
132,"['friendship', 'imaginary']",0,1,0,0,0,0,0,1,0,0,0,0
133,"['friendship', 'imaginary']",0,1,0,0,0,0,0,1,0,0,0,0
134,"['imaginary', 'growth']",0,0,0,0,0,0,0,1,0,0,1,0
135,"['friendship', 'imaginary']",0,1,0,0,0,0,0,1,0,0,0,0
136,"['imaginary', 'loneliness']",0,0,0,0,0,0,0,1,0,1,0,0
137,"['friendship', 'imaginary']",0,1,0,0,0,0,0,1,0,0,0,0
138,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
139,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
140,['friendship'],0,1,0,0,0,0,0,0,0,0,0,0
141,"['friendship', 'imaginary']",0,1,0,0,0,0,0,1,0,0,0,0
142,['friendship'],0,1,0,0,0,0,0,0,0,0,0,0
143,"['adventure', 'imaginary']",0,0,1,0,0,0,0,1,0,0,0,0
144,"['loneliness', 'growth', 'sick']",0,0,0,0,0,0,0,0,0,1,1,1
145,"['holiday', 'loneliness']",0,0,0,0,0,0,1,0,0,1,0,0
146,['friendship'],0,1,0,0,0,0,0,0,0,0,0,0
147,['loneliness'],0,0,0,0,0,0,0,0,0,1,0,0
148,['friendship'],0,1,0,0,0,0,0,0,0,0,0,0
149,['family'],1,0,0,0,0,0,0,0,0,0,0,0
150,['family'],1,0,0,0,0,0,0,0,0,0,0,0
151,['growth'],0,0,0,0,0,0,0,0,0,0,1,0
152,['friendship'],0,1,0,0,0,0,0,0,0,0,0,0
153,['holiday'],0,0,0,0,0,0,1,0,0,0,0,0
154,['beautiful-scenery'],0,0,0,0,1,0,0,0,0,0,0,0
155,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
156,['friendship'],0,1,0,0,0,0,0,0,0,0,0,0
157,['enjoy-life'],0,0,0,1,0,0,0,0,0,0,0,0
158,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
159,"['imaginary', 'sick']",0,0,0,0,0,0,0,1,0,0,0,1
160,"['adventure', 'imaginary']",0,0,1,0,0,0,0,1,0,0,0,0
161,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
162,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
163,"['imaginary', 'sick']",0,0,0,0,0,0,0,1,0,0,0,1
164,"['imaginary', 'sick']",0,0,0,0,0,0,0,1,0,0,0,1
165,"['imaginary', 'sick']",0,0,0,0,0,0,0,1,0,0,0,1
166,"['adventure', 'imaginary']",0,0,1,0,0,0,0,1,0,0,0,0
167,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
168,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
169,"['imaginary', 'growth']",0,0,0,0,0,0,0,1,0,0,1,0
170,"['friendship', 'beautiful-scenery', 'imaginary']",0,1,0,0,1,0,0,1,0,0,0,0
171,['friendship'],0,1,0,0,0,0,0,0,0,0,0,0
172,"['imaginary', 'growth']",0,0,0,0,0,0,0,1,0,0,1,0
173,"['friendship', 'imaginary']",0,1,0,0,0,0,0,1,0,0,0,0
174,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
175,"['friendship', 'adventure', 'imaginary']",0,1,1,0,0,0,0,1,0,0,0,0
176,"['friendship', 'imaginary']",0,1,0,0,0,0,0,1,0,0,0,0
177,"['adventure', 'imaginary']",0,0,1,0,0,0,0,1,0,0,0,0
178,"['adventure', 'imaginary']",0,0,1,0,0,0,0,1,0,0,0,0
179,"['friendship', 'imaginary']",0,1,0,0,0,0,0,1,0,0,0,0
180,"['imaginary', 'growth']",0,0,0,0,0,0,0,1,0,0,1,0
181,['loneliness'],0,0,0,0,0,0,0,0,0,1,0,0
182,['loneliness'],0,0,0,0,0,0,0,0,0,1,0,0
183,['sick'],0,0,0,0,0,0,0,0,0,0,0,1
184,['sick'],0,0,0,0,0,0,0,0,0,0,0,1
185,['sick'],0,0,0,0,0,0,0,0,0,0,0,1
186,['sick'],0,0,0,0,0,0,0,0,0,0,0,1
187,['sick'],0,0,0,0,0,0,0,0,0,0,0,1
188,['loneliness'],0,0,0,0,0,0,0,0,0,1,0,0
189,['sick'],0,0,0,0,0,0,0,0,0,0,0,1
190,['loneliness'],0,0,0,0,0,0,0,0,0,1,0,0
191,['sick'],0,0,0,0,0,0,0,0,0,0,0,1
192,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
193,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
194,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
195,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
196,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
197,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
198,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
199,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
200,"['adventure', 'imaginary', 'loneliness']",0,0,1,0,0,0,0,1,0,1,0,0
201,"['imaginary', 'loneliness']",0,0,0,0,0,0,0,1,0,1,0,0
202,"['imaginary', 'loneliness']",0,0,0,0,0,0,0,1,0,1,0,0
203,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
204,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
205,['growth'],0,0,0,0,0,0,0,0,0,0,1,0
206,['sick'],0,0,0,0,0,0,0,0,0,0,0,1
207,"['adventure', 'imaginary']",0,0,1,0,0,0,0,1,0,0,0,0
208,['sick'],0,0,0,0,0,0,0,0,0,0,0,1
209,"['imaginary', 'loneliness']",0,0,0,0,0,0,0,1,0,1,0,0
210,['family'],1,0,0,0,0,0,0,0,0,0,0,0
211,"['imaginary', 'loneliness']",0,0,0,0,0,0,0,1,0,1,0,0
212,['loneliness'],0,0,0,0,0,0,0,0,0,1,0,0
213,"['imaginary', 'growth']",0,0,0,0,0,0,0,1,0,0,1,0
214,"['adventure', 'imaginary']",0,0,1,0,0,0,0,1,0,0,0,0
215,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
216,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
217,['loneliness'],0,0,0,0,0,0,0,0,0,1,0,0
218,['home'],0,0,0,0,0,1,0,0,0,0,0,0
219,['home'],0,0,0,0,0,1,0,0,0,0,0,0
220,['home'],0,0,0,0,0,1,0,0,0,0,0,0
221,['home'],0,0,0,0,0,1,0,0,0,0,0,0
222,['home'],0,0,0,0,0,1,0,0,0,0,0,0
223,['home'],0,0,0,0,0,1,0,0,0,0,0,0
224,['home'],0,0,0,0,0,1,0,0,0,0,0,0
225,"['loneliness', 'growth']",0,0,0,0,0,0,0,0,0,1,1,0
226,['home'],0,0,0,0,0,1,0,0,0,0,0,0
227,['home'],0,0,0,0,0,1,0,0,0,0,0,0
228,['home'],0,0,0,0,0,1,0,0,0,0,0,0
229,['home'],0,0,0,0,0,1,0,0,0,0,0,0
230,['home'],0,0,0,0,0,1,0,0,0,0,0,0
231,['home'],0,0,0,0,0,1,0,0,0,0,0,0
232,['home'],0,0,0,0,0,1,0,0,0,0,0,0
233,['home'],0,0,0,0,0,1,0,0,0,0,0,0
234,['home'],0,0,0,0,0,1,0,0,0,0,0,0
235,['nostalgia'],0,0,0,0,0,0,0,0,1,0,0,0
236,['nostalgia'],0,0,0,0,0,0,0,0,1,0,0,0
237,['nostalgia'],0,0,0,0,0,0,0,0,1,0,0,0
238,['nostalgia'],0,0,0,0,0,0,0,0,1,0,0,0
239,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
240,['nostalgia'],0,0,0,0,0,0,0,0,1,0,0,0
241,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
242,"['imaginary', 'sick']",0,0,0,0,0,0,0,1,0,0,0,1
243,"['imaginary', 'sick']",0,0,0,0,0,0,0,1,0,0,0,1
244,"['imaginary', 'sick']",0,0,0,0,0,0,0,1,0,0,0,1
245,['loneliness'],0,0,0,0,0,0,0,0,0,1,0,0
246,"['imaginary', 'sick']",0,0,0,0,0,0,0,1,0,0,0,1
247,"['imaginary', 'loneliness']",0,0,0,0,0,0,0,1,0,1,0,0
248,"['imaginary', 'sick']",0,0,0,0,0,0,0,1,0,0,0,1
249,"['imaginary', 'sick']",0,0,0,0,0,0,0,1,0,0,0,1
250,"['imaginary', 'sick']",0,0,0,0,0,0,0,1,0,0,0,1
251,"['imaginary', 'sick']",0,0,0,0,0,0,0,1,0,0,0,1
252,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
253,"['imaginary', 'sick']",0,0,0,0,0,0,0,1,0,0,0,1
254,"['imaginary', 'sick']",0,0,0,0,0,0,0,1,0,0,0,1
255,['home'],0,0,0,0,0,1,0,0,0,0,0,0
256,['home'],0,0,0,0,0,1,0,0,0,0,0,0
257,['loneliness'],0,0,0,0,0,0,0,0,0,1,0,0
258,['friendship'],0,1,0,0,0,0,0,0,0,0,0,0
259,['loneliness'],0,0,0,0,0,0,0,0,0,1,0,0
260,['friendship'],0,1,0,0,0,0,0,0,0,0,0,0
261,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
262,['loneliness'],0,0,0,0,0,0,0,0,0,1,0,0
263,['home'],0,0,0,0,0,1,0,0,0,0,0,0
264,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
265,['growth'],0,0,0,0,0,0,0,0,0,0,1,0
266,['loneliness'],0,0,0,0,0,0,0,0,0,1,0,0
267,['home'],0,0,0,0,0,1,0,0,0,0,0,0
268,['growth'],0,0,0,0,0,0,0,0,0,0,1,0
269,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
270,['home'],0,0,0,0,0,1,0,0,0,0,0,0
271,['family'],1,0,0,0,0,0,0,0,0,0,0,0
272,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
273,['enjoy-life'],0,0,0,1,0,0,0,0,0,0,0,0
274,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
275,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
276,['growth'],0,0,0,0,0,0,0,0,0,0,1,0
277,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
278,['enjoy-life'],0,0,0,1,0,0,0,0,0,0,0,0
279,['family'],1,0,0,0,0,0,0,0,0,0,0,0
280,['loneliness'],0,0,0,0,0,0,0,0,0,1,0,0
281,['friendship'],0,1,0,0,0,0,0,0,0,0,0,0
282,"['adventure', 'nostalgia']",0,0,1,0,0,0,0,0,1,0,0,0
283,['nostalgia'],0,0,0,0,0,0,0,0,1,0,0,0
284,['nostalgia'],0,0,0,0,0,0,0,0,1,0,0,0
285,['nostalgia'],0,0,0,0,0,0,0,0,1,0,0,0
286,['friendship'],0,1,0,0,0,0,0,0,0,0,0,0
287,['nostalgia'],0,0,0,0,0,0,0,0,1,0,0,0
288,['nostalgia'],0,0,0,0,0,0,0,0,1,0,0,0
289,['nostalgia'],0,0,0,0,0,0,0,0,1,0,0,0
290,['nostalgia'],0,0,0,0,0,0,0,0,1,0,0,0
291,['nostalgia'],0,0,0,0,0,0,0,0,1,0,0,0
292,"['nostalgia', 'sick']",0,0,0,0,0,0,0,0,1,0,0,1
293,['nostalgia'],0,0,0,0,0,0,0,0,1,0,0,0
294,['sick'],0,0,0,0,0,0,0,0,0,0,0,1
295,['home'],0,0,0,0,0,1,0,0,0,0,0,0
296,['home'],0,0,0,0,0,1,0,0,0,0,0,0
297,['home'],0,0,0,0,0,1,0,0,0,0,0,0
298,['home'],0,0,0,0,0,1,0,0,0,0,0,0
299,['nostalgia'],0,0,0,0,0,0,0,0,1,0,0,0
300,['nostalgia'],0,0,0,0,0,0,0,0,1,0,0,0
301,"['imaginary', 'sick']",0,0,0,0,0,0,0,1,0,0,0,1
302,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
303,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
304,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
305,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
306,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
307,"['imaginary', 'sick']",0,0,0,0,0,0,0,1,0,0,0,1
308,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
309,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
310,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
311,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
312,['home'],0,0,0,0,0,1,0,0,0,0,0,0
313,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
314,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
315,"['adventure', 'imaginary']",0,0,1,0,0,0,0,1,0,0,0,0
316,"['adventure', 'imaginary']",0,0,1,0,0,0,0,1,0,0,0,0
317,"['adventure', 'imaginary']",0,0,1,0,0,0,0,1,0,0,0,0
318,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
319,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
320,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
321,"['imaginary', 'sick']",0,0,0,0,0,0,0,1,0,0,0,1
322,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
323,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
324,"['imaginary', 'sick']",0,0,0,0,0,0,0,1,0,0,0,1
325,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
326,"['imaginary', 'sick']",0,0,0,0,0,0,0,1,0,0,0,1
327,"['imaginary', 'sick']",0,0,0,0,0,0,0,1,0,0,0,1
328,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
329,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
330,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
331,['growth'],0,0,0,0,0,0,0,0,0,0,1,0
332,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
333,['home'],0,0,0,0,0,1,0,0,0,0,0,0
334,"['adventure', 'growth']",0,0,1,0,0,0,0,0,0,0,1,0
335,['growth'],0,0,0,0,0,0,0,0,0,0,1,0
336,['family'],1,0,0,0,0,0,0,0,0,0,0,0
337,"['adventure', 'imaginary']",0,0,1,0,0,0,0,1,0,0,0,0
338,['home'],0,0,0,0,0,1,0,0,0,0,0,0
339,['home'],0,0,0,0,0,1,0,0,0,0,0,0
340,"['adventure', 'imaginary']",0,0,1,0,0,0,0,1,0,0,0,0
341,"['adventure', 'imaginary']",0,0,1,0,0,0,0,1,0,0,0,0
342,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
343,"['home', 'imaginary']",0,0,0,0,0,1,0,1,0,0,0,0
344,"['home', 'imaginary']",0,0,0,0,0,1,0,1,0,0,0,0
345,['home'],0,0,0,0,0,1,0,0,0,0,0,0
346,"['home', 'growth']",0,0,0,0,0,1,0,0,0,0,1,0
347,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
348,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
349,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
350,['beautiful-scenery'],0,0,0,0,1,0,0,0,0,0,0,0
351,['home'],0,0,0,0,0,1,0,0,0,0,0,0
352,['home'],0,0,0,0,0,1,0,0,0,0,0,0
353,['beautiful-scenery'],0,0,0,0,1,0,0,0,0,0,0,0
354,"['enjoy-life', 'beautiful-scenery']",0,0,0,1,1,0,0,0,0,0,0,0
355,['friendship'],0,1,0,0,0,0,0,0,0,0,0,0
356,['growth'],0,0,0,0,0,0,0,0,0,0,1,0
357,['beautiful-scenery'],0,0,0,0,1,0,0,0,0,0,0,0
358,['home'],0,0,0,0,0,1,0,0,0,0,0,0
359,['home'],0,0,0,0,0,1,0,0,0,0,0,0
360,['growth'],0,0,0,0,0,0,0,0,0,0,1,0
361,['growth'],0,0,0,0,0,0,0,0,0,0,1,0
362,['home'],0,0,0,0,0,1,0,0,0,0,0,0
363,['home'],0,0,0,0,0,1,0,0,0,0,0,0
364,['home'],0,0,0,0,0,1,0,0,0,0,0,0
365,['home'],0,0,0,0,0,1,0,0,0,0,0,0
366,['home'],0,0,0,0,0,1,0,0,0,0,0,0
367,['loneliness'],0,0,0,0,0,0,0,0,0,1,0,0
368,['loneliness'],0,0,0,0,0,0,0,0,0,1,0,0
369,['growth'],0,0,0,0,0,0,0,0,0,0,1,0
370,['sick'],0,0,0,0,0,0,0,0,0,0,0,1
371,['family'],1,0,0,0,0,0,0,0,0,0,0,0
372,['home'],0,0,0,0,0,1,0,0,0,0,0,0
373,['friendship'],0,1,0,0,0,0,0,0,0,0,0,0
374,"['imaginary', 'growth']",0,0,0,0,0,0,0,1,0,0,1,0
375,"['adventure', 'imaginary']",0,0,1,0,0,0,0,1,0,0,0,0
376,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
377,"['family', 'adventure', 'beautiful-scenery']",1,0,1,0,1,0,0,0,0,0,0,0
378,"['family', 'adventure']",1,0,1,0,0,0,0,0,0,0,0,0
379,"['adventure', 'growth']",0,0,1,0,0,0,0,0,0,0,1,0
380,"['family', 'adventure', 'beautiful-scenery']",1,0,1,0,1,0,0,0,0,0,0,0
381,['home'],0,0,0,0,0,1,0,0,0,0,0,0
382,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
383,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
384,"['adventure', 'imaginary']",0,0,1,0,0,0,0,1,0,0,0,0
385,"['imaginary', 'growth']",0,0,0,0,0,0,0,1,0,0,1,0
386,['growth'],0,0,0,0,0,0,0,0,0,0,1,0
387,['friendship'],0,1,0,0,0,0,0,0,0,0,0,0
388,['nostalgia'],0,0,0,0,0,0,0,0,1,0,0,0
389,['nostalgia'],0,0,0,0,0,0,0,0,1,0,0,0
390,['nostalgia'],0,0,0,0,0,0,0,0,1,0,0,0
391,"['adventure', 'nostalgia']",0,0,1,0,0,0,0,0,1,0,0,0
392,['imaginary'],0,0,0,0,0,0,0,1,0,0,0,0
393,"['nostalgia', 'loneliness']",0,0,0,0,0,0,0,0,1,1,0,0
394,['friendship'],0,1,0,0,0,0,0,0,0,0,0,0
395,['growth'],0,0,0,0,0,0,0,0,0,0,1,0
396,['growth'],0,0,0,0,0,0,0,0,0,0,1,0
397,['adventure'],0,0,1,0,0,0,0,0,0,0,0,0
398,['growth'],0,0,0,0,0,0,0,0,0,0,1,0
